,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
1243,PA5436,429.4442722,-0.441366418,-,acetyl-CoA carboxylase subunit alpha
1244,PA1029,25.61253568,-0.440975365,NaN,NaN
1245,PA1635,8.41872912,-0.440799258,kdpC,potassium-transporting ATPase subunit C
1246,PA4750,8.41872912,-0.440799258,folP,dihydropteroate synthase
1247,PA5185,455.45769979999994,-0.440681839,-,hypothetical protein PA5185
1248,PA1859,111.80428619999999,-0.440581285,-,transcriptional regulator
1249,PA0821,803.8327286,-0.44056184,-,hypothetical protein PA0821
1250,PA5135,35.23394039,-0.440520378,-,hypothetical protein PA5135
1251,PA2615,65.12265595,-0.440241426,ftsK,DNA translocase FtsK
1252,PA3426,44.8553451,-0.440088177,-,enoyl-CoA hydratase
1253,PA3979,342.18347669999997,-0.439551524,-,hypothetical protein PA3979
1254,PA3318,15.99113097,-0.439170894,-,hypothetical protein PA3318
1255,PA4230,15.99113097,-0.439170894,pchB,isochorismate-pyruvate lyase
1256,PA3595,43.83084367,-0.437495941,-,major facilitator superfamily transporter
1257,PA3424,120.4011895,-0.437320136,-,hypothetical protein PA3424
1258,PA2440,53.45224838,-0.437315794,-,hypothetical protein PA2440
1259,PA0620,367.57329469999996,-0.437090454,-,bacteriophage protein
1260,PA2354,24.58803426,-0.436745775,-,transcriptional regulator
1261,PA2876,63.07365309,-0.436702598,pyrF,orotidine 5\'-phosphate decarboxylase
1262,PA3472,432.29505880000005,-0.436383242,-,hypothetical protein PA3472
1263,PA0248,181.8267316,-0.434774319,-,transcriptional regulator
1264,PA1505,14.96662955,-0.432421356,moaA2,cyclic pyranopterin monophosphate synthase
1265,PA1761,14.96662955,-0.432421356,-,hypothetical protein PA1761
1266,PA2632,14.96662955,-0.432421356,-,hypothetical protein PA2632
1267,PA4819,14.96662955,-0.432421356,-,glycosyl transferase family protein
1268,PA4485,102.58377340000001,-0.432281125,-,hypothetical protein PA4485
1269,PA0336,23.56353283,-0.432212524,ygdP,RNA pyrophosphohydrolase
1270,PA2823,23.56353283,-0.432212524,-,hypothetical protein PA2823
1271,PA4922,23.56353283,-0.432212524,azu,azurin
1272,PA3241,510.73623330000004,-0.431835635,-,hypothetical protein PA3241
1273,PA4344,175.679723,-0.431718792,-,hydrolase
1274,PA4398,254.9226812,-0.431007892,-,two-component sensor
1275,PA3734,610.9146555,-0.429390759,-,hypothetical protein PA3734
1276,PA1833,40.75733939,-0.429027498,-,oxidoreductase
1277,PA3105,413.63131539999995,-0.428951112,xcpQ,type II secretion system protein D
1278,PA2441,337.2391438,-0.428527003,-,hypothetical protein PA2441
1279,PA3793,49.35424267,-0.427909161,-,hypothetical protein PA3793
1280,PA1520,144.1428965,-0.427824183,-,transcriptional regulator
1281,PA0762,7.3942276929999995,-0.427384231,algU,RNA polymerase sigma factor AlgU
1282,PA3020,382.4953807,-0.427260433,-,lytic transglycosylase
1283,PA5282,380.44637789999996,-0.426925286,-,major facilitator superfamily transporter
1284,PA3258,749.2223482,-0.426705084,-,hypothetical protein PA3258
1285,PA3848,142.0938936,-0.426418199,-,hypothetical protein PA3848
1286,PA1529,39.73283796,-0.425951468,lig,NAD-dependent DNA ligase LigA
1287,PA0178,107.0826709,-0.425650128,-,two-component sensor
1288,PA1802,13.94212812,-0.424896872,clpX,ATP-dependent protease ATP-binding subunit ClpX
1289,PA1980,13.94212812,-0.424896872,eraR,response regulator EraR
1290,PA3591,13.94212812,-0.424896872,-,enoyl-CoA hydratase
1291,PA4249,13.94212812,-0.424896872,rpsH,30S ribosomal protein S8
1292,PA4583,13.94212812,-0.424896872,-,hypothetical protein PA4583
1293,PA0305,462.36194850000004,-0.424098759,-,hypothetical protein PA0305
1294,PA0003,65.52354781,-0.423534596,recF,DNA replication and repair protein RecF
1295,PA5518,126.32548030000001,-0.423139632,-,potassium efflux transporter
1296,PA2449,30.11143326,-0.422754771,-,transcriptional regulator
1297,PA3492,30.11143326,-0.422754771,-,electron transport complex subunit D
1298,PA3989,30.11143326,-0.422754771,holA,DNA polymerase III subunit delta
1299,PA0778,38.70833654,-0.422736153,icp,inhibitor of cysteine peptidase
1300,PA0775,55.902143099999996,-0.422246339,-,tRNA (cmo5U34)-methyltransferase
1301,PA1601,55.902143099999996,-0.422246339,-,aldehyde dehydrogenase
1302,PA4684,55.902143099999996,-0.422246339,-,hypothetical protein PA4684
1303,PA1967,334.9674232,-0.421210866,-,hypothetical protein PA1967
1304,PA4060,73.09594966,-0.420625169,-,hypothetical protein PA4060
1305,PA4497,1825.5724559999999,-0.420381851,-,ABC transporter
1306,PA4480,54.87764167,-0.419877346,mreC,rod shape-determining protein MreC
1307,PA4491,46.28073839,-0.419835873,-,hypothetical protein PA4491
1308,PA4689,155.1896945,-0.419664749,-,hypothetical protein PA4689
1309,EBG00001435512,5699.16781,-0.418704354,NaN,NaN
1310,PA4493,29.08693183,-0.418584741,roxR,DNA-binding response regulator RoxR
1311,PA2567,321.64890460000004,-0.417957718,-,hypothetical protein PA2567
1312,PA3023,80.66835152,-0.417914019,-,lipid kinase
1313,PA4229,62.45004353,-0.417421277,pchC,pyochelin biosynthetic protein PchC
1314,PA0270,45.25623696,-0.416922742,-,hypothetical protein PA0270
1315,PA4400,330.2458079,-0.416623235,-,hypothetical protein PA4400
1316,PA0892,12.91762669,-0.416496508,aotP,arginine/ornithine ABC transporter ATP-binding protein AotP
1317,PA3865,338.8427112,-0.415323294,-,amino acid binding protein
1318,PA2337,70.02244538,-0.415139913,mtlR,transcriptional regulator MtlR
1319,PA3854,2.494438258,-0.41509942,-,GIY-YIG nuclease superfamily protein
1320,PA1854,337.81820980000003,-0.415071849,-,hypothetical protein PA1854
1321,PA5119,221.51502599999998,-0.413188231,glnA,glutamine synthetase
1322,PA4617,466.4154107,-0.412443231,-,hypothetical protein PA4617
1323,PA3124,51.80413739,-0.412232787,-,transcriptional regulator
1324,PA0754,35.63483225,-0.412165672,-,hypothetical protein PA0754
1325,PA3375,35.63483225,-0.412165672,-,ABC transporter ATP-binding protein
1326,PA0362,6.369726266,-0.410735647,fdx1,4Fe-4S ferredoxin
1327,PA0678,6.369726266,-0.410735647,-,HxcU pseudopilin
1328,PA2174,6.369726266,-0.410735647,-,hypothetical protein PA2174
1329,PA2605,6.369726266,-0.410735647,-,sulfurtransferase TusD
1330,PA2827,6.369726266,-0.410735647,-,methionine sulfoxide reductase B
1331,PA5417,6.369726266,-0.410735647,soxD,sarcosine oxidase subunit delta
1332,PA5482,6.369726266,-0.410735647,-,hypothetical protein PA5482
1333,PA4406,103.3855571,-0.410520206,lpxC,UDP-3-O
1334,PA5129,19.46552712,-0.410349225,grx,glutaredoxin
1335,PA5446,141.8711759,-0.409791204,-,hypothetical protein PA5446
1336,PA1853,50.77963596,-0.409490508,-,transcriptional regulator
1337,PA1653,102.36105570000001,-0.409285067,-,transcriptional regulator
1338,PA4636,314.2546769,-0.408661242,-,hypothetical protein PA4636
1339,PA4779,909.7572675000001,-0.408646959,-,hypothetical protein PA4779
1340,PA5531,74.52134295,-0.407571266,tonB1,transporter TonB
1341,PA0460,358.8873043,-0.40709231,-,hypothetical protein PA0460
1342,PA0517,11.89312527,-0.40705496,nirC,cytochrome c55X
1343,PA2796,424.41085219999997,-0.406300046,tal,transaldolase B
1344,PA5177,1003.788681,-0.405891358,-,hydrolase
1345,PA5372,649.3111872000001,-0.405848454,betA,choline dehydrogenase
1346,PA2267,185.8801938,-0.405320966,-,transcriptional regulator
1347,PA3024,26.01342755,-0.404473986,-,carbohydrate kinase
1348,PA3369,26.01342755,-0.404473986,-,hypothetical protein PA3369
1349,PA2707,33.5858294,-0.404244777,-,hypothetical protein PA2707
1350,PA3115,33.5858294,-0.404244777,fimV,motility protein FimV
1351,PA4584,33.5858294,-0.404244777,-,hypothetical protein PA4584
1352,PA1411,41.15823125,-0.403987133,-,hypothetical protein PA1411
1353,PA2275,72.4723401,-0.403706578,-,alcohol dehydrogenase
1354,PA4295,18.44102569,-0.403686814,fppA,Flp prepilin peptidase FppA
1355,PA5111,18.44102569,-0.403686814,gloA3,lactoylglutathione lyase
1356,PA1605,125.0782612,-0.403394176,-,hypothetical protein PA1605
1357,PA2821,543.3866482999999,-0.402323281,-,glutathione S-transferase
1358,PA0627,2.895330121,-0.401912412,-,hypothetical protein PA0627
1359,PA2098,2.895330121,-0.401912412,-,esterase
1360,PA2570,2.895330121,-0.401912412,lecA,PA-I galactophilic lectin
1361,PA0290,260.8024286,-0.40172735,-,hypothetical protein PA0290
1362,PA1759,206.5483965,-0.39993615,-,transcriptional regulator
1363,PA5527,86.59264238,-0.399559012,-,hypothetical protein PA5527
1364,PA5343,24.98892612,-0.399171812,-,hypothetical protein PA5343
1365,PA4467,1040.403471,-0.398846406,-,hypothetical protein PA4467
1366,PA2191,61.82643396,-0.397765074,exoY,adenylate cyclase
1367,PA4876,61.82643396,-0.397765074,osmE,OsmE family transcriptional regulator
1368,PA3959,128.55265740000002,-0.397669445,-,hypothetical protein PA3959
1369,PA2502,230.2901034,-0.396921851,-,hypothetical protein PA2502
1370,PA4023,93.14054281,-0.3968023,-,transporter
1371,PA0080,10.86862384,-0.396360636,-,hypothetical protein PA0080
1372,PA3412,10.86862384,-0.396360636,-,hypothetical protein PA3412
1373,PA1812,31.53682655,-0.395482219,mltD,membrane-bound lytic murein transglycosylase D
1374,PA1649,53.22953068,-0.394904803,-,short-chain dehydrogenase
1375,PA3301,45.65712883,-0.394086072,-,hypothetical protein PA3301
1376,PA3112,23.96442469,-0.393482711,accD,acetyl-CoA carboxylase carboxyltransferase subunit beta
1377,PA4798,1260.626735,-0.393000262,-,hypothetical protein PA4798
1378,PA2651,98.66394181,-0.392773083,-,hypothetical protein PA2651
1379,PA2290,59.77743111,-0.392678741,gcd,glucose dehydrogenase
1380,PA5246,933.1871697,-0.39212417,-,hypothetical protein PA5246
1381,PA0314,52.20502925,-0.391934244,-,L-cysteine ABC transporter protein FliY
1382,PA4680,30.51232512,-0.390737364,-,hypothetical protein PA4680
1383,PA1107,293.9428226,-0.390224701,-,hypothetical protein PA1107
1384,PA2312,58.75292968,-0.390006033,-,transcriptional regulator
1385,PA0922.1,5.345224838,-0.389844831,NaN,NaN
1386,PA1957,5.345224838,-0.389844831,-,hypothetical protein PA1957
1387,PA3807,5.345224838,-0.389844831,ndk,nucleoside diphosphate kinase
1388,PA4261,5.345224838,-0.389844831,rplW,50S ribosomal protein L23
1389,PA3965,37.06022555,-0.388609017,-,transcriptional regulator
1390,PA2158,16.39202284,-0.388452559,-,alcohol dehydrogenase
1391,PA2428,16.39202284,-0.388452559,-,hypothetical protein PA2428
1392,PA4537,16.39202284,-0.388452559,-,hypothetical protein PA4537
1393,PA2968,22.93992326,-0.387390106,fabD,malonyl CoA-ACP transacylase
1394,PA3582,22.93992326,-0.387390106,glpK,glycerol kinase
1395,PA2204,57.72842825,-0.387241787,-,ABC transporter
1396,PA0793,43.60812597,-0.387015255,-,hypothetical protein PA0793
1397,PA5333,1803.033425,-0.386256927,-,hypothetical protein PA5333
1398,EBG00001435446,125.8800449,-0.385599396,NaN,NaN
1399,PA5242,1223.655596,-0.385367172,ppk,polyphosphate kinase
1400,PA4324,570.9590998,-0.385071458,-,hypothetical protein PA4324
1401,PA5477,657.5962857000001,-0.384810534,-,hypothetical protein PA5477
1402,PA2031,36.03572412,-0.384308718,-,hypothetical protein PA2031
1403,PA5095,36.03572412,-0.384308718,-,ABC transporter permease
1404,PA0628,9.84412241,-0.384140491,-,hypothetical protein PA0628
1405,PA1230,9.84412241,-0.384140491,-,hypothetical protein PA1230
1406,PA2270,9.84412241,-0.384140491,-,transcriptional regulator
1407,PA0308,689.1331123,-0.383425913,-,hypothetical protein PA0308
1408,PA2744,69.79972768,-0.381885075,thrS,threonine--tRNA ligase
1409,PA1959,21.91542184,-0.380849265,bacA,undecaprenyl-diphosphatase
1410,PA1075,76.34762811,-0.380620947,-,hypothetical protein PA1075
1411,PA4712,244.5885799,-0.380069448,-,hypothetical protein PA4712
1412,PA0725,15.36752141,-0.379688453,-,hypothetical protein PA0725
1413,PA2237,15.36752141,-0.379688453,pslG,biofilm formation protein PslG
1414,PA2396,15.36752141,-0.379688453,pvdF,pyoverdine synthetase F
1415,PA3800,15.36752141,-0.379688453,-,outer membrane protein assembly factor BamB
1416,PA4608,411.6268561,-0.379036113,-,hypothetical protein PA4608
1417,PA0085,54.65492397,-0.378356413,hcp1,protein secretion apparatus assembly protein
1418,PA3691,54.65492397,-0.378356413,-,hypothetical protein PA3691
1419,PA5002,54.65492397,-0.378356413,-,hypothetical protein PA5002
1420,PA4579,576.6606730000001,-0.378018449,-,hypothetical protein PA4579
1421,PA2247,61.2028244,-0.3777244,bkdA1,2-oxoisovalerate dehydrogenase subunit alpha
1422,PA3575,103.5637312,-0.376911273,-,hypothetical protein PA3575
1423,EBG00001435471,1228.065407,-0.376599781,NaN,NaN
1424,PA0550,1948.3789969999998,-0.376333501,-,hypothetical protein PA0550
1425,PA4184,88.41892753,-0.376143388,-,transcriptional regulator
1426,PA3987,53.63042254,-0.375181264,leuS,leucine--tRNA ligase
1427,PA1589,60.17832297,-0.374885168,sucD,succinyl-CoA ligase subunit alpha
1428,PA1799,27.43882084,-0.37480076,parR,two-component response regulator ParR
1429,PA3703,27.43882084,-0.37480076,wspF,chemotaxis-specific methylesterase
1430,PA4329,66.7262234,-0.374431456,pykA,pyruvate kinase
1431,PA5231,192.3835506,-0.372822899,-,ABC transporter ATP-binding protein/permease
1432,PA0026,59.15382154,-0.371951156,plcB,phospholipase C
1433,PA4500,72.2496224,-0.371450859,-,ABC transporter
1434,PA3264,114.61052920000002,-0.371440157,-,transporter
1435,PA3857,32.96221984,-0.370122809,pcs,phosphatidylcholine synthase
1436,PA2142,8.819620983,-0.370036196,-,short-chain dehydrogenase
1437,PA4419,8.819620983,-0.370036196,ftsL,cell division protein FtsL
1438,PA1682,14.34301998,-0.370002309,-,MFS metabolite transporter
1439,PA2747,14.34301998,-0.370002309,-,hypothetical protein PA2747
1440,PA3578,14.34301998,-0.370002309,-,hypothetical protein PA3578
1441,PA2550,135.27873190000003,-0.3694935,-,acyl-CoA dehydrogenase
1442,PA0232,26.41431941,-0.36881884,pcaC,4-carboxymuconolactone decarboxylase
1443,PA3382,26.41431941,-0.36881884,phnE,phosphonate transporter PhnE
1444,PA4146,26.41431941,-0.36881884,NaN,NaN
1445,PA1473,51.58141969,-0.368479105,-,hypothetical protein PA1473
1446,PA3236,51.58141969,-0.368479105,-,glycine betaine-binding protein
1447,PA3340,330.7357869,-0.368032844,-,hypothetical protein PA3340
1448,PA3404,171.0917384,-0.367819649,-,hypothetical protein PA3404
1449,PA4201,371.67130039999995,-0.366966654,ddlA,D-alanine--D-alanine ligase
1450,PA2838,147.3500314,-0.366428273,-,transcriptional regulator
1451,PA3798,19.86641898,-0.366208853,-,aminotransferase
1452,PA3852,19.86641898,-0.366208853,-,hypothetical protein PA3852
1453,PA4568,19.86641898,-0.366208853,rplU,50S ribosomal protein L21
1454,PA2006,57.10481869,-0.365781424,-,major facilitator superfamily transporter
1455,PA2082,161.47033369999997,-0.365770094,-,transcriptional regulator
1456,PA5273,2357.466871,-0.36560625,-,hypothetical protein PA5273
1457,PA4202,50.55691826,-0.364940236,-,hypothetical protein PA4202
1458,PA3897,249.26565159999998,-0.363912372,-,hypothetical protein PA3897
1459,PA0733,44.00901783,-0.363653977,-,16S rRNA pseudouridine(516) synthase
1460,PA0740,95.36771982,-0.363384731,sdsA1,SDS hydrolase SdsA1
1461,EBG00001435475,4.320723411,-0.363287103,NaN,NaN
1462,PA2697,4.320723411,-0.363287103,-,hypothetical protein PA2697
1463,PA4255,4.320723411,-0.363287103,rpmC,50S ribosomal protein L29
1464,PA5310,577.818805,-0.36293707,-,hypothetical protein PA5310
1465,PA3012,56.08031726,-0.362536379,-,hypothetical protein PA3012
1466,PA4000,25.38981798,-0.362451577,-,hypothetical protein PA4000
1467,PA1225,37.46111741,-0.361827064,-,NAD(P)H dehydrogenase
1468,PA2626,37.46111741,-0.361827064,trmU,tRNA-specific 2-thiouridylase MnmA
1469,PA3008,1396.70725,-0.361752317,-,cell division inhibitor SulA
1470,PA1536,275.45725330000005,-0.361199201,-,hypothetical protein PA1536
1471,PA4457,61.60371626,-0.360376975,-,arabinose-5-phosphate isomerase KdsD
1472,PA2915,198.7087334,-0.359899034,-,hypothetical protein PA2915
1473,PA2258,30.91321698,-0.359375886,ptxR,HTH-type transcriptional regulator PtxR
1474,EBG00001435507,13.31851856,-0.359281387,NaN,NaN
1475,PA1591,474.61142209999997,-0.358910635,-,hypothetical protein PA1591
1476,PA1013,67.12711526,-0.358395496,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase
1477,PA0316,398.6646859,-0.358291825,serA,D-3-phosphoglycerate dehydrogenase
1478,PA0582,18.84191755,-0.357980549,folB,dihydroneopterin aldolase
1479,PA2586,18.84191755,-0.357980549,gacA,response regulator GacA
1480,PA3373,18.84191755,-0.357980549,-,hypothetical protein PA3373
1481,PA4516,85.74631511,-0.357540638,-,hypothetical protein PA4516
1482,PA3884,24.36531655,-0.355660453,-,hypothetical protein PA3884
1483,PA4666,24.36531655,-0.355660453,hemA,glutamyl-tRNA reductase
1484,PA4108,144.677419,-0.355376383,-,cyclic di-GMP phosphodiesterase
1485,PA3206,479.5112115,-0.355352111,-,two-component sensor
1486,PA0568,186.0138244,-0.355113813,-,hypothetical protein PA0568
1487,PA0168,41.96001498,-0.355058843,-,hypothetical protein PA0168
1488,PA1616,7.795119556,-0.353568485,-,hypothetical protein PA1616
1489,PA2137,7.795119556,-0.353568485,-,hypothetical protein PA2137
1490,PA2405,7.795119556,-0.353568485,-,hypothetical protein PA2405
1491,PA3982,7.795119556,-0.353568485,-,metalloprotease
1492,PA5144,7.795119556,-0.353568485,-,hypothetical protein PA5144
1493,EBG00001435436,136.08051569999998,-0.353182508,NaN,NaN
1494,PA5005,83.69731226,-0.353119366,-,carbamoyl transferase
1495,PA1727,53.00681298,-0.352098082,mucR,signaling protein
1496,PA4760,53.00681298,-0.352098082,dnaJ,molecular chaperone DnaJ
1497,PA0711,35.41211455,-0.351826165,-,hypothetical protein PA0711
1498,PA0818,40.93551355,-0.350482916,-,hypothetical protein PA0818
1499,PA5556,46.45891255,-0.349374454,atpA,ATP synthase subunit alpha
1500,PA2156,17.81741613,-0.349043,-,hypothetical protein PA2156
1501,PA3493,17.81741613,-0.349043,-,electron transport complex subunit G
1502,PA4833,51.98231155,-0.348364884,-,hypothetical protein PA4833
1503,PA5294,1379.736161,-0.348311871,-,multidrug efflux protein NorA
1504,PA2743,12.29401713,-0.347361302,infC,translation initiation factor IF-3
1505,PA5268,105.79090829999998,-0.347014111,corA,magnesium/cobalt transporter
1506,PA1858,336.61553419999996,-0.346384409,str,streptomycin 3\'\'-phosphotransferase
1507,PA4925,183.341212,-0.34627084,-,hypothetical protein PA4925
1508,PA0703,80.62380798,-0.346044542,-,major facilitator superfamily transporter
1509,PA3180,710.8258164,-0.345562233,-,hypothetical protein PA3180
1510,PA0287,45.43441113,-0.345091621,gpuP,3-guanidinopropionate transporter
1511,PA5155,45.43441113,-0.345091621,-,amino acid ABC transporter permease
1512,PA5421,98.2185064,-0.344566992,fdhA,glutathione-independent formaldehyde dehydrogenase
1513,PA2003,56.48120912,-0.343874979,bdhA,3-hydroxybutyrate dehydrogenase
1514,PA4639,56.48120912,-0.343874979,-,hypothetical protein PA4639
1515,PA3692,406.1925442,-0.34387491,lptF,outer membrane porin F
1516,PA3177,691.3602893,-0.343324501,-,hypothetical protein PA3177
1517,PA1431,477.4176651000001,-0.343046054,rsaL,regulatory protein RsaL
1518,PA1760,67.52800712,-0.34252188,-,transcriptional regulator
1519,PA4449,27.839712699999996,-0.340866053,hisG,ATP phosphoribosyltransferase
1520,PA2181,33.3631117,-0.340809689,-,glutamate--cysteine ligase
1521,PA4996,38.8865107,-0.340729096,rfaE,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
1522,PA5507,38.8865107,-0.340729096,-,hypothetical protein PA5507
1523,PA2283,44.4099097,-0.340634485,-,hypothetical protein PA2283
1524,PA4723,44.4099097,-0.340634485,dksA,suppressor protein DksA
1525,PA4203,49.933308700000005,-0.340479382,-,transcriptional regulator
1526,PA1188,84.09820412,-0.340179879,-,hypothetical protein PA1188
1527,PA3750,84.09820412,-0.340179879,-,hypothetical protein PA3750
1528,PA1539,351.5376202,-0.339844304,-,hypothetical protein PA1539
1529,PA1585,164.0984025,-0.339721074,sucA,2-oxoglutarate dehydrogenase subunit E1
1530,PA2910,225.4794011,-0.337414432,-,manganese efflux pump MntP
1531,PA3214,106.1918001,-0.336679602,-,hypothetical protein PA3214
1532,PA5283,167.5727987,-0.336547583,-,transcriptional regulator
1533,PA5554,54.43220627,-0.336458585,atpD,ATP synthase subunit beta
1534,PA0326,65.47900427,-0.336307707,-,ABC transporter ATP-binding protein
1535,PA5298,142.4056984,-0.336158789,-,xanthine phosphoribosyltransferase
1536,PA4790,43.38540827,-0.336005849,-,hypothetical protein PA4790
1537,PA4475,37.86200927,-0.335510696,-,hypothetical protein PA4475
1538,PA0591,6.770618128,-0.334082328,-,protein ApaG
1539,PA1815,11.2695157,-0.334030221,rnhA,ribonuclease HI
1540,PA2411,11.2695157,-0.334030221,-,thioesterase
1541,PA2453,11.2695157,-0.334030221,-,hypothetical protein PA2453
1542,PA4900,11.2695157,-0.334030221,-,major facilitator superfamily transporter
1543,PA5269,11.2695157,-0.334030221,-,hypothetical protein PA5269
1544,PA4872,318.5754004,-0.333810116,-,hypothetical protein PA4872
1545,PA3348,64.45450284,-0.333056927,-,chemotaxis protein methyltransferase
1546,PA4622,64.45450284,-0.333056927,-,major facilitator superfamily transporter
1547,PA3423,58.93110384,-0.332898203,-,transcriptional regulator
1548,PA4115,58.93110384,-0.332898203,-,hypothetical protein PA4115
1549,PA1242,176.5705938,-0.332817564,-,hypothetical protein PA1242
1550,PA3921,86.54809884,-0.332310841,-,transcriptional regulator
1551,PA4751,115.1895953,-0.331521681,ftsH,cell division protein FtsH
1552,PA0598,193.14079080000002,-0.330955751,-,hypothetical protein PA0598
1553,PA3138,103.1182958,-0.330840016,uvrB,excinuclease ABC subunit B
1554,PA0274,15.76841327,-0.328643906,-,hypothetical protein PA0274
1555,PA1906,15.76841327,-0.328643906,-,hypothetical protein PA1906
1556,PA2507,15.76841327,-0.328643906,catA,"catechol 1,2-dioxygenase"
1557,PA4237,15.76841327,-0.328643906,rplQ,50S ribosomal protein L17
1558,PA4929,798.3538731000001,-0.328582191,-,hypothetical protein PA4929
1559,PA1565,1146.639815,-0.328266713,-,oxidoreductase
1560,PA1090,3.2962219839999998,-0.327910223,-,hypothetical protein PA1090
1561,PA5520,488.82081150000005,-0.327592977,-,hypothetical protein PA5520
1562,PA2975,46.85980442,-0.327500295,rluC,ribosomal large subunit pseudouridine synthase C
1563,PA1798,73.45229799,-0.327159921,parS,two-component sensor ParS
1564,PA2523,25.79070984,-0.326581324,-,two-component response regulator
1565,PA2679,25.79070984,-0.326581324,-,hypothetical protein PA2679
1566,PA3976,62.40549999,-0.326247607,thiE,thiamine-phosphate pyrophosphorylase
1567,PA3391,117.63949,-0.325679494,nosR,regulatory protein NosR
1568,PA1930,56.88210099,-0.325434056,-,chemotaxis transducer
1569,PA2491,56.88210099,-0.325434056,-,oxidoreductase
1570,PA3818,192.5171813,-0.324238729,-,type III secretion system regulator SuhB
1571,PA5237,72.42779656,-0.324155673,-,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
1572,PA1116,746.7279099,-0.323667214,-,hypothetical protein PA1116
1573,PA1911,20.26731085,-0.323284452,femR,sigma factor regulator FemR
1574,PA3476,20.26731085,-0.323284452,rhlI,acyl-homoserine-lactone synthase
1575,PA5289,20.26731085,-0.323284452,-,hypothetical protein PA5289
1576,PA2352,110.0670881,-0.322237185,-,glycerophosphoryl diester phosphodiesterase
1577,PA3623,30.28960742,-0.322018487,-,hypothetical protein PA3623
1578,PA5487,177.3723775,-0.320441005,-,hypothetical protein PA5487
1579,PA0388,10.24501427,-0.31902548,-,hypothetical protein PA0388
1580,PA2115,10.24501427,-0.31902548,-,transcriptional regulator
1581,PA4570,10.24501427,-0.31902548,-,hypothetical protein PA4570
1582,PA0853,34.78850499,-0.318335436,-,oxidoreductase
1583,PA3005,34.78850499,-0.318335436,nagZ,beta-hexosaminidase
1584,PA3517,34.78850499,-0.318335436,-,adenylosuccinate lyase
1585,PA5359,511.0925816000001,-0.318333582,-,hypothetical protein PA5359
1586,PA4117,227.0829685,-0.318075263,bphP,phytochrome BphP
1587,PA5311,168.7754743,-0.317006076,-,major facilitator superfamily transporter
1588,PA0713,14.74391185,-0.316937924,-,hypothetical protein PA0713
1589,PA2311,14.74391185,-0.316937924,-,hypothetical protein PA2311
1590,PA4387,14.74391185,-0.316937924,-,phage exclusion suppressor FxsA
1591,PA0761,1742.4096670000001,-0.31564832,nadB,L-aspartate oxidase
1592,PA2028,29.26510599,-0.315044995,-,transcriptional regulator
1593,PA0566,122.5392794,-0.314656647,-,hypothetical protein PA0566
1594,PA2725,84.89998785,-0.314622931,-,chaperone
1595,PA3433,1110.871352,-0.314278461,-,transcriptional regulator
1596,PA3551,105.9690824,-0.314132591,algA,bifunctional mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
1597,PA2269,19.24280942,-0.313578566,-,hypothetical protein PA2269
1598,PA2323,19.24280942,-0.313578566,-,glyceraldehyde-3-phosphate dehydrogenase
1599,PA4048,19.24280942,-0.313578566,-,hypothetical protein PA4048
1600,PA0113,333.052051,-0.313453235,-,protoheme IX farnesyltransferase
1601,PA3863,132.561576,-0.313093078,dauA,FAD-dependent catabolic D-arginine dehydrogenase DauA
1602,PA2656,43.78630013,-0.312900651,-,two-component sensor
1603,PA0144,225.4348576,-0.311403906,-,hypothetical protein PA0144
1604,PA1538,68.32979085,-0.311253725,-,flavin-containing monooxygenase
1605,PA2724,5.746116701,-0.310763326,-,hypothetical protein PA2724
1606,PA2964,5.746116701,-0.310763326,pabC,4-amino-4-deoxychorismate lyase
1607,PA0926,23.74170699,-0.310375601,-,hypothetical protein PA0926
1608,PA2488,109.44347859999999,-0.31031592,-,transcriptional regulator
1609,PA4631,141.5593711,-0.310098398,-,hypothetical protein PA4631
1610,PA4685,38.26290113,-0.30962078,-,hypothetical protein PA4685
1611,PA5249,72.82868842,-0.309494964,-,hypothetical protein PA5249
1612,PA0866,52.78409528,-0.308909658,aroP2,aromatic amino acid transporter AroP
1613,PA1484,341.4262365,-0.307969343,-,transcriptional regulator
1614,PA0252,28.24060456,-0.307664985,-,hypothetical protein PA0252
1615,PA3655,28.24060456,-0.307664985,tsf,elongation factor Ts
1616,PA3751,42.76179871,-0.307628017,purT,phosphoribosylglycinamide formyltransferase
1617,PA1764,57.28299285,-0.307220947,-,hypothetical protein PA1764
1618,PA5457,97.37217914,-0.306858708,-,hypothetical protein PA5457
1619,PA1314,128.4635703,-0.306226439,-,hypothetical protein PA1314
1620,PA1893,181.64855740000002,-0.305832306,-,hypothetical protein PA1893
1621,PA3626,66.28078799,-0.304221302,-,tRNA pseudouridine synthase D
1622,PA0438,190.64635259999997,-0.303800827,codB,cytosine permease
1623,PA4675,906.0601536,-0.303529186,-,TonB-dependent receptor
1624,PA3419,18.21830799,-0.303069966,-,hypothetical protein PA3419
1625,PA1474,41.73729728,-0.302132128,-,hypothetical protein PA1474
1626,PA0380,9.220512846,-0.302018771,-,sulfur carrier protein ThiS
1627,PA1394,9.220512846,-0.302018771,-,hypothetical protein PA1394
1628,PA1463,9.220512846,-0.302018771,-,hypothetical protein PA1463
